Mixed array																
2.5																
11																
0																
"Type of measurement (0=app. resistivity,1=resistance)"																
1																
4067																
1																
1																
Chargeability																
msec																
"0.1,  1.0"	C1		C2		P1		P2				a	b	m	n		
4	47.5	0	102.5	0	132.5	0	135	0	-0.01356285	0	20	42	54	55		
4	47.5	0	102.5	0	135	0	137.5	0	-0.03372601	0	20	42	55	56		
4	47.5	0	102.5	0	147.5	0	150	0	-0.03692109	0	20	42	60	61		
4	47.5	0	102.5	0	150	0	152.5	0	-0.02728469	0	20	42	61	62		
4	62.5	0	117.5	0	0	0	2.5	0	-0.01113665	0	26	48	1	2		
4	62.5	0	117.5	0	10	0	12.5	0	-1.09216297	11.04244041	26	48	5	6		
4	62.5	0	117.5	0	12.5	0	15	0	-0.05659855	0	26	48	6	7		
4	62.5	0	117.5	0	15	0	17.5	0	-0.00608717	0	26	48	7	8		
4	62.5	0	117.5	0	20	0	22.5	0	-0.04383314	0	26	48	9	10		
4	62.5	0	117.5	0	25	0	27.5	0	-0.02358006	0	26	48	11	12		
4	62.5	0	117.5	0	27.5	0	30	0	-0.05691394	0	26	48	12	13		
4	62.5	0	117.5	0	30	0	32.5	0	-0.02188183	0	26	48	13	14		
4	62.5	0	117.5	0	35	0	37.5	0	-0.09257461	0	26	48	15	16		
4	62.5	0	117.5	0	80	0	82.5	0	0.1289421	0	26	48	33	34		
4	62.5	0	117.5	0	100	0	102.5	0	0.06260302	0	26	48	41	42		
4	62.5	0	117.5	0	102.5	0	105	0	0.06932317	0	26	48	42	43		
4	62.5	0	117.5	0	105	0	107.5	0	0.15687481	18.20775986	26	48	43	44		
4	62.5	0	117.5	0	107.5	0	110	0	0.1315424	0	26	48	44	45		
4	62.5	0	117.5	0	110	0	112.5	0	0.38542259	20.09240913	26	48	45	46		
4	62.5	0	117.5	0	120	0	122.5	0	-0.74215508	20.72707939	26	48	49	50		
4	62.5	0	117.5	0	122.5	0	125	0	-0.30685851	19.34231949	26	48	50	51		
4	62.5	0	117.5	0	125	0	127.5	0	-0.18264709	22.76086998	26	48	51	52		
4	62.5	0	117.5	0	127.5	0	130	0	-0.14137121	15.56198025	26	48	52	53		
4	62.5	0	117.5	0	130	0	132.5	0	-0.1044247	0	26	48	53	54		
4	62.5	0	117.5	0	132.5	0	135	0	-0.07855979	0	26	48	54	55		
4	62.5	0	117.5	0	135	0	137.5	0	-0.06813882	0	26	48	55	56		
4	67.5	0	122.5	0	2.5	0	5	0	-0.01438562	0	28	50	2	3		
4	67.5	0	122.5	0	10	0	12.5	0	-0.03673581	0	28	50	5	6		
4	67.5	0	122.5	0	15	0	17.5	0	-0.00881047	0	28	50	7	8		
4	67.5	0	122.5	0	17.5	0	20	0	-0.01672366	0	28	50	8	9		
4	67.5	0	122.5	0	22.5	0	25	0	-0.02577987	0	28	50	10	11		
4	67.5	0	122.5	0	25	0	27.5	0	-0.00275508	0	28	50	11	12		
4	67.5	0	122.5	0	30	0	32.5	0	-0.01233348	0	28	50	13	14		
4	67.5	0	122.5	0	32.5	0	35	0	-0.04082885	0	28	50	14	15		
4	67.5	0	122.5	0	37.5	0	40	0	-0.2074593	46.93315887	28	50	16	17		
4	67.5	0	122.5	0	40	0	42.5	0	-0.1801974	64.53327179	28	50	17	18		
4	67.5	0	122.5	0	80	0	82.5	0	0.1078044	64.55935669	28	50	33	34		
4	67.5	0	122.5	0	100	0	102.5	0	0.06037493	0	28	50	41	42		
4	67.5	0	122.5	0	102.5	0	105	0	0.0907281	55.1313591	28	50	42	43		
4	67.5	0	122.5	0	105	0	107.5	0	0.08058025	77.05890656	28	50	43	44		
4	67.5	0	122.5	0	107.5	0	110	0	0.124632	63.6642189	28	50	44	45		
4	67.5	0	122.5	0	110	0	112.5	0	0.1177071	83.39530945	28	50	45	46		
4	67.5	0	122.5	0	112.5	0	115	0	0.22866771	68.16816711	28	50	46	47		
4	67.5	0	122.5	0	115	0	117.5	0	0.30475029	82.8275528	28	50	47	48		
4	67.5	0	122.5	0	125	0	127.5	0	-0.72255808	98.87660217	28	50	51	52		
4	67.5	0	122.5	0	127.5	0	130	0	-0.37111619	88.09013367	28	50	52	53		
4	67.5	0	122.5	0	130	0	132.5	0	-0.2199488	14.90133953	28	50	53	54		
4	67.5	0	122.5	0	132.5	0	135	0	-0.1290742	99	28	50	54	55		
4	67.5	0	122.5	0	135	0	137.5	0	-0.1321843	73.41272736	28	50	55	56		
4	67.5	0	122.5	0	147.5	0	150	0	-0.03407229	0	28	50	60	61		
4	67.5	0	122.5	0	150	0	152.5	0	-0.02766483	0	28	50	61	62		
4	72.5	0	127.5	0	2.5	0	5	0	-0.01780743	0	30	52	2	3		
4	72.5	0	127.5	0	10	0	12.5	0	-0.05668959	0	30	52	5	6		
4	72.5	0	127.5	0	15	0	17.5	0	-0.00912088	0	30	52	7	8		
4	72.5	0	127.5	0	17.5	0	20	0	-0.02162351	0	30	52	8	9		
4	72.5	0	127.5	0	22.5	0	25	0	-0.03741783	0	30	52	10	11		
4	72.5	0	127.5	0	30	0	32.5	0	-0.00794454	0	30	52	13	14		
4	72.5	0	127.5	0	32.5	0	35	0	-0.05520181	0	30	52	14	15		
4	72.5	0	127.5	0	40	0	42.5	0	-0.39759541	59.86962128	30	52	17	18		
4	72.5	0	127.5	0	45	0	47.5	0	-0.09204084	0	30	52	19	20		
4	72.5	0	127.5	0	80	0	82.5	0	0.1922026	57.29505157	30	52	33	34		
4	72.5	0	127.5	0	100	0	102.5	0	0.05817174	0	30	52	41	42		
4	72.5	0	127.5	0	102.5	0	105	0	0.09181383	0	30	52	42	43		
4	72.5	0	127.5	0	105	0	107.5	0	0.05239228	0	30	52	43	44		
4	72.5	0	127.5	0	107.5	0	110	0	0.1065237	0	30	52	44	45		
4	72.5	0	127.5	0	110	0	112.5	0	0.04816345	0	30	52	45	46		
4	72.5	0	127.5	0	112.5	0	115	0	0.15823971	42.71949005	30	52	46	47		
4	72.5	0	127.5	0	115	0	117.5	0	0.1179551	0	30	52	47	48		
4	72.5	0	127.5	0	117.5	0	120	0	0.19740421	76.29786682	30	52	48	49		
4	72.5	0	127.5	0	120	0	122.5	0	0.31655529	67.80623627	30	52	49	50		
4	72.5	0	127.5	0	130	0	132.5	0	-1.05658305	36.87345123	30	52	53	54		
4	72.5	0	127.5	0	132.5	0	135	0	-0.41800791	99	30	52	54	55		
4	72.5	0	127.5	0	135	0	137.5	0	-0.34001651	61.85000992	30	52	55	56		
4	72.5	0	127.5	0	147.5	0	150	0	-0.05249922	0	30	52	60	61		
4	72.5	0	127.5	0	150	0	152.5	0	-0.0430669	0	30	52	61	62		
4	75	0	130	0	2.5	0	5	0	-0.01581253	0	31	53	2	3		
4	75	0	130	0	10	0	12.5	0	-0.05761949	0	31	53	5	6		
4	75	0	130	0	15	0	17.5	0	-0.00776415	0	31	53	7	8		
4	75	0	130	0	17.5	0	20	0	-0.01971643	0	31	53	8	9		
4	75	0	130	0	22.5	0	25	0	-0.03195757	0	31	53	10	11		
4	75	0	130	0	30	0	32.5	0	-0.00696628	0	31	53	13	14		
4	75	0	130	0	32.5	0	35	0	-0.04754811	0	31	53	14	15		
4	75	0	130	0	80	0	82.5	0	0.3603712	61.5181694	31	53	33	34		
4	75	0	130	0	100	0	102.5	0	0.05672316	0	31	53	41	42		
4	75	0	130	0	102.5	0	105	0	0.08409971	0	31	53	42	43		
4	75	0	130	0	105	0	107.5	0	0.0475286	0	31	53	43	44		
4	75	0	130	0	107.5	0	110	0	0.09041487	0	31	53	44	45		
4	75	0	130	0	110	0	112.5	0	0.03714606	0	31	53	45	46		
4	75	0	130	0	112.5	0	115	0	0.1238642	50.69768906	31	53	46	47		
4	75	0	130	0	115	0	117.5	0	0.07858706	0	31	53	47	48		
4	75	0	130	0	117.5	0	120	0	0.1307088	97.90170288	31	53	48	49		
4	75	0	130	0	120	0	122.5	0	0.1787287	81.99228668	31	53	49	50		
4	75	0	130	0	122.5	0	125	0	0.36233479	80.21753693	31	53	50	51		
4	75	0	130	0	135	0	137.5	0	-0.97105378	86.11300659	31	53	55	56		
4	75	0	130	0	147.5	0	150	0	-0.06834849	0	31	53	60	61		
4	75	0	130	0	150	0	152.5	0	-0.0534936	0	31	53	61	62		
4	77.5	0	132.5	0	0	0	2.5	0	-0.00845916	0	32	54	1	2		
4	77.5	0	132.5	0	5	0	7.5	0	-0.01071863	0	32	54	3	4		
4	77.5	0	132.5	0	10	0	12.5	0	-0.00403182	0	32	54	5	6		
4	77.5	0	132.5	0	12.5	0	15	0	-0.04738037	0	32	54	6	7		
4	77.5	0	132.5	0	15	0	17.5	0	-0.00261273	0	32	54	7	8		
4	77.5	0	132.5	0	17.5	0	20	0	-0.02528188	0	32	54	8	9		
4	77.5	0	132.5	0	20	0	22.5	0	-0.03378734	0	32	54	9	10		
4	77.5	0	132.5	0	25	0	27.5	0	-0.0166023	0	32	54	11	12		
4	77.5	0	132.5	0	27.5	0	30	0	-0.00299317	0	32	54	12	13		
4	77.5	0	132.5	0	30	0	32.5	0	-0.01211054	0	32	54	13	14		
4	77.5	0	132.5	0	35	0	37.5	0	-0.06732608	0	32	54	15	16		
4	77.5	0	132.5	0	60	0	62.5	0	-0.08530923	0	32	54	25	26		
4	77.5	0	132.5	0	80	0	82.5	0	1.78312099	34.27780914	32	54	33	34		
4	77.5	0	132.5	0	100	0	102.5	0	0.04976967	0	32	54	41	42		
4	77.5	0	132.5	0	102.5	0	105	0	0.03546709	0	32	54	42	43		
4	77.5	0	132.5	0	105	0	107.5	0	0.08351474	0	32	54	43	44		
4	77.5	0	132.5	0	107.5	0	110	0	0.01711358	0	32	54	44	45		
4	77.5	0	132.5	0	110	0	112.5	0	0.14193781	16.17602921	32	54	45	46		
4	77.5	0	132.5	0	112.5	0	115	0	0.02249604	0	32	54	46	47		
4	77.5	0	132.5	0	115	0	117.5	0	0.1153305	0	32	54	47	48		
4	77.5	0	132.5	0	117.5	0	120	0	0.06748309	0	32	54	48	49		
4	77.5	0	132.5	0	120	0	122.5	0	0.1313128	19.65962029	32	54	49	50		
4	77.5	0	132.5	0	122.5	0	125	0	0.1553326	32.24040985	32	54	50	51		
4	77.5	0	132.5	0	125	0	127.5	0	0.4726916	23.87104034	32	54	51	52		
4	77.5	0	132.5	0	135	0	137.5	0	-3.99233007	16.88419914	32	54	55	56		
4	77.5	0	132.5	0	147.5	0	150	0	-0.0690773	0	32	54	60	61		
4	77.5	0	132.5	0	150	0	152.5	0	-0.05165676	0	32	54	61	62		
4	80	0	135	0	0	0	2.5	0	-0.00918115	0	33	55	1	2		
4	80	0	135	0	5	0	7.5	0	-0.01261788	0	33	55	3	4		
4	80	0	135	0	7.5	0	10	0	-0.04247688	0	33	55	4	5		
4	80	0	135	0	12.5	0	15	0	-0.06391264	0	33	55	6	7		
4	80	0	135	0	15	0	17.5	0	-0.00298198	0	33	55	7	8		
4	80	0	135	0	20	0	22.5	0	-0.04470095	0	33	55	9	10		
4	80	0	135	0	25	0	27.5	0	-0.0202022	0	33	55	11	12		
4	80	0	135	0	27.5	0	30	0	-0.05677653	0	33	55	12	13		
4	80	0	135	0	30	0	32.5	0	-0.00841279	0	33	55	13	14		
4	80	0	135	0	35	0	37.5	0	-0.08823106	0	33	55	15	16		
4	80	0	135	0	37.5	0	40	0	-0.3555207	31.48881912	33	55	16	17		
4	80	0	135	0	40	0	42.5	0	-0.0637323	0	33	55	17	18		
4	80	0	135	0	42.5	0	45	0	-0.38043761	32.60528946	33	55	18	19		
4	80	0	135	0	52.5	0	55	0	-0.54075241	26.44183922	33	55	22	23		
4	80	0	135	0	65	0	67.5	0	-0.2046707	22.85181046	33	55	27	28		
4	80	0	135	0	70	0	72.5	0	-0.32724029	36.41090012	33	55	29	30		
4	80	0	135	0	72.5	0	75	0	-0.90857869	31.08893967	33	55	30	31		
4	80	0	135	0	100	0	102.5	0	0.05315294	0	33	55	41	42		
4	80	0	135	0	102.5	0	105	0	0.02851698	0	33	55	42	43		
4	80	0	135	0	105	0	107.5	0	0.09182067	0	33	55	43	44		
4	80	0	135	0	110	0	112.5	0	0.16118111	0	33	55	45	46		
4	80	0	135	0	115	0	117.5	0	0.1131362	0	33	55	47	48		
4	80	0	135	0	117.5	0	120	0	0.04003197	0	33	55	48	49		
4	80	0	135	0	120	0	122.5	0	0.09957094	0	33	55	49	50		
4	80	0	135	0	122.5	0	125	0	0.06703705	0	33	55	50	51		
4	80	0	135	0	125	0	127.5	0	0.25665149	22.01296997	33	55	51	52		
4	80	0	135	0	127.5	0	130	0	0.91659302	28.85548973	33	55	52	53		
4	80	0	135	0	147.5	0	150	0	-0.1135361	0	33	55	60	61		
4	80	0	135	0	150	0	152.5	0	-0.07994895	0	33	55	61	62		
4	30	0	95	0	0	0	2.5	0	-0.00995419	0	13	39	1	2		
4	30	0	95	0	2.5	0	5	0	-0.03231517	0	13	39	2	3		
4	30	0	95	0	5	0	7.5	0	-0.02105615	0	13	39	3	4		
4	30	0	95	0	7.5	0	10	0	-0.00218897	0	13	39	4	5		
4	30	0	95	0	10	0	12.5	0	-0.08476035	0	13	39	5	6		
4	30	0	95	0	12.5	0	15	0	-0.01291612	0	13	39	6	7		
4	30	0	95	0	20	0	22.5	0	-0.1672314	45.72803116	13	39	9	10		
4	30	0	95	0	22.5	0	25	0	-0.33526301	36.24465179	13	39	10	11		
4	30	0	95	0	25	0	27.5	0	-0.68381691	37.34458923	13	39	11	12		
4	30	0	95	0	32.5	0	35	0	0.79018551	39.00606918	13	39	14	15		
4	30	0	95	0	35	0	37.5	0	0.42982519	33.5155983	13	39	15	16		
4	30	0	95	0	37.5	0	40	0	0.58283949	50.36014938	13	39	16	17		
4	30	0	95	0	40	0	42.5	0	0.1851608	23.67141914	13	39	17	18		
4	30	0	95	0	45	0	47.5	0	0.1207357	87.49223328	13	39	19	20		
4	30	0	95	0	47.5	0	50	0	0.1410384	78.43958282	13	39	20	21		
4	30	0	95	0	57.5	0	60	0	0.1624569	47.30976105	13	39	24	25		
4	30	0	95	0	67.5	0	70	0	0.05417381	0	13	39	28	29		
4	30	0	95	0	72.5	0	75	0	0.1545385	38.21057892	13	39	30	31		
4	30	0	95	0	75	0	77.5	0	0.2372638	60.67351151	13	39	31	32		
4	30	0	95	0	77.5	0	80	0	0.17299511	39.51552963	13	39	32	33		
4	30	0	95	0	100	0	102.5	0	-0.3262839	61.44696045	13	39	41	42		
4	30	0	95	0	102.5	0	105	0	-0.2016477	57.40301895	13	39	42	43		
4	30	0	95	0	105	0	107.5	0	-0.14622431	45.8569603	13	39	43	44		
4	30	0	95	0	107.5	0	110	0	-0.06782399	0	13	39	44	45		
4	30	0	95	0	110	0	112.5	0	-0.1082831	33.37483978	13	39	45	46		
4	30	0	95	0	112.5	0	115	0	-0.01905691	0	13	39	46	47		
4	30	0	95	0	115	0	117.5	0	-0.06334262	0	13	39	47	48		
4	30	0	95	0	117.5	0	120	0	-0.00857083	0	13	39	48	49		
4	30	0	95	0	120	0	122.5	0	-0.02740378	0	13	39	49	50		
4	30	0	95	0	125	0	127.5	0	-0.02073422	0	13	39	51	52		
4	30	0	95	0	127.5	0	130	0	-0.02983304	0	13	39	52	53		
4	30	0	95	0	130	0	132.5	0	-0.01647368	0	13	39	53	54		
4	30	0	95	0	132.5	0	135	0	-0.01253742	0	13	39	54	55		
4	30	0	95	0	135	0	137.5	0	-0.02918451	0	13	39	55	56		
4	30	0	95	0	147.5	0	150	0	-0.03732532	0	13	39	60	61		
4	30	0	95	0	150	0	152.5	0	-0.01265795	0	13	39	61	62		
4	47.5	0	112.5	0	0	0	2.5	0	-0.01435895	0	20	46	1	2		
4	47.5	0	112.5	0	5	0	7.5	0	-0.02139952	0	20	46	3	4		
4	47.5	0	112.5	0	10	0	12.5	0	-0.00582538	0	20	46	5	6		
4	47.5	0	112.5	0	12.5	0	15	0	-0.06061682	0	20	46	6	7		
4	47.5	0	112.5	0	15	0	17.5	0	-0.01692765	0	20	46	7	8		
4	47.5	0	112.5	0	17.5	0	20	0	-0.01081856	0	20	46	8	9		
4	47.5	0	112.5	0	20	0	22.5	0	-0.05746889	0	20	46	9	10		
4	47.5	0	112.5	0	25	0	27.5	0	-0.0412966	0	20	46	11	12		
4	47.5	0	112.5	0	27.5	0	30	0	-0.06922013	0	20	46	12	13		
4	47.5	0	112.5	0	30	0	32.5	0	-0.07387996	0	20	46	13	14		
4	47.5	0	112.5	0	32.5	0	35	0	-0.02849921	0	20	46	14	15		
4	47.5	0	112.5	0	35	0	37.5	0	-0.1794579	11.73219967	20	46	15	16		
4	47.5	0	112.5	0	52.5	0	55	0	0.07991339	0	20	46	22	23		
4	47.5	0	112.5	0	80	0	82.5	0	0.0866478	0	20	46	33	34		
4	47.5	0	112.5	0	100	0	102.5	0	0.117958	0	20	46	41	42		
4	47.5	0	112.5	0	102.5	0	105	0	0.1952389	33.33451843	20	46	42	43		
4	47.5	0	112.5	0	105	0	107.5	0	0.45018321	27.04524994	20	46	43	44		
4	47.5	0	112.5	0	115	0	117.5	0	-0.94174218	23.39699936	20	46	47	48		
4	47.5	0	112.5	0	117.5	0	120	0	-0.29899761	42.57106018	20	46	48	49		
4	47.5	0	112.5	0	120	0	122.5	0	-0.1375123	0	20	46	49	50		
4	47.5	0	112.5	0	122.5	0	125	0	-0.1306455	0	20	46	50	51		
4	47.5	0	112.5	0	125	0	127.5	0	-0.08329064	0	20	46	51	52		
4	47.5	0	112.5	0	127.5	0	130	0	-0.07275933	0	20	46	52	53		
4	47.5	0	112.5	0	130	0	132.5	0	-0.05479262	0	20	46	53	54		
4	47.5	0	112.5	0	132.5	0	135	0	-0.05369563	0	20	46	54	55		
4	47.5	0	112.5	0	135	0	137.5	0	-0.04386885	0	20	46	55	56		
4	50	0	115	0	2.5	0	5	0	-0.01857254	0	21	47	2	3		
4	50	0	115	0	5	0	7.5	0	-0.00509675	0	21	47	3	4		
4	50	0	115	0	10	0	12.5	0	-0.06186954	0	21	47	5	6		
4	50	0	115	0	15	0	17.5	0	-0.02126299	0	21	47	7	8		
4	50	0	115	0	17.5	0	20	0	-0.03819935	0	21	47	8	9		
4	50	0	115	0	20	0	22.5	0	-0.00706775	0	21	47	9	10		
4	50	0	115	0	22.5	0	25	0	-0.04793946	0	21	47	10	11		
4	50	0	115	0	25	0	27.5	0	-0.01729744	0	21	47	11	12		
4	50	0	115	0	27.5	0	30	0	-0.00645238	0	21	47	12	13		
4	50	0	115	0	30	0	32.5	0	-0.05353031	0	21	47	13	14		
4	50	0	115	0	32.5	0	35	0	-0.09293055	0	21	47	14	15		
4	50	0	115	0	35	0	37.5	0	-0.05422894	0	21	47	15	16		
4	50	0	115	0	80	0	82.5	0	0.01909289	0	21	47	33	34		
4	50	0	115	0	100	0	102.5	0	0.08442753	0	21	47	41	42		
4	50	0	115	0	102.5	0	105	0	0.1486319	80.0832901	21	47	42	43		
4	50	0	115	0	105	0	107.5	0	0.188585	99	21	47	43	44		
4	50	0	115	0	107.5	0	110	0	0.3601912	99.19661713	21	47	44	45		
4	50	0	115	0	117.5	0	120	0	-0.91061568	99	21	47	48	49		
4	50	0	115	0	120	0	122.5	0	-0.2888023	95.35791016	21	47	49	50		
4	50	0	115	0	122.5	0	125	0	-0.13007741	99	21	47	50	51		
4	50	0	115	0	125	0	127.5	0	-0.1250567	87.24465942	21	47	51	52		
4	50	0	115	0	127.5	0	130	0	-0.1168994	99	21	47	52	53		
4	50	0	115	0	130	0	132.5	0	-0.07618694	0	21	47	53	54		
4	50	0	115	0	132.5	0	135	0	-0.065893	0	21	47	54	55		
4	50	0	115	0	135	0	137.5	0	-0.0706531	0	21	47	55	56		
4	50	0	115	0	147.5	0	150	0	-0.03547451	0	21	47	60	61		
4	50	0	115	0	150	0	152.5	0	-0.02249645	0	21	47	61	62		
4	52.5	0	117.5	0	0	0	2.5	0	-0.01291467	0	22	48	1	2		
4	52.5	0	117.5	0	5	0	7.5	0	-0.01908879	0	22	48	3	4		
4	52.5	0	117.5	0	7.5	0	10	0	-0.07523973	0	22	48	4	5		
4	52.5	0	117.5	0	12.5	0	15	0	-0.05859601	0	22	48	6	7		
4	52.5	0	117.5	0	15	0	17.5	0	-0.01379855	0	22	48	7	8		
4	52.5	0	117.5	0	17.5	0	20	0	-0.00378014	0	22	48	8	9		
4	52.5	0	117.5	0	20	0	22.5	0	-0.05125425	0	22	48	9	10		
4	52.5	0	117.5	0	25	0	27.5	0	-0.03436809	0	22	48	11	12		
4	52.5	0	117.5	0	27.5	0	30	0	-0.06053446	0	22	48	12	13		
4	52.5	0	117.5	0	30	0	32.5	0	-0.05015076	0	22	48	13	14		
4	52.5	0	117.5	0	35	0	37.5	0	-0.13230389	0	22	48	15	16		
4	52.5	0	117.5	0	77.5	0	80	0	0.25932619	41.9879303	22	48	32	33		
4	52.5	0	117.5	0	80	0	82.5	0	0.09059404	0	22	48	33	34		
4	52.5	0	117.5	0	100	0	102.5	0	0.05892869	0	22	48	41	42		
4	52.5	0	117.5	0	102.5	0	105	0	0.06749244	0	22	48	42	43		
4	52.5	0	117.5	0	105	0	107.5	0	0.1522755	22.50407028	22	48	43	44		
4	52.5	0	117.5	0	107.5	0	110	0	0.1385693	28.76288033	22	48	44	45		
4	52.5	0	117.5	0	110	0	112.5	0	0.33973229	24.29900932	22	48	45	46		
4	52.5	0	117.5	0	120	0	122.5	0	-0.74659711	24.49246979	22	48	49	50		
4	52.5	0	117.5	0	122.5	0	125	0	-0.30206239	23.67000008	22	48	50	51		
4	52.5	0	117.5	0	125	0	127.5	0	-0.1839637	29.94947052	22	48	51	52		
4	52.5	0	117.5	0	127.5	0	130	0	-0.1027455	0	22	48	52	53		
4	52.5	0	117.5	0	130	0	132.5	0	-0.1361569	0	22	48	53	54		
4	52.5	0	117.5	0	132.5	0	135	0	-0.09497105	0	22	48	54	55		
4	52.5	0	117.5	0	135	0	137.5	0	-0.07067028	0	22	48	55	56		
4	57.5	0	122.5	0	0	0	2.5	0	-0.00896191	0	24	50	1	2		
4	57.5	0	122.5	0	5	0	7.5	0	-0.01321312	0	24	50	3	4		
4	57.5	0	122.5	0	7.5	0	10	0	-0.02881587	0	24	50	4	5		
4	57.5	0	122.5	0	12.5	0	15	0	-0.04152616	0	24	50	6	7		
4	57.5	0	122.5	0	15	0	17.5	0	-0.01376481	0	24	50	7	8		
4	57.5	0	122.5	0	17.5	0	20	0	-0.00391704	0	24	50	8	9		
4	57.5	0	122.5	0	20	0	22.5	0	-0.03601235	0	24	50	9	10		
4	57.5	0	122.5	0	25	0	27.5	0	-0.02425728	0	24	50	11	12		
4	57.5	0	122.5	0	27.5	0	30	0	-0.04282185	0	24	50	12	13		
4	57.5	0	122.5	0	30	0	32.5	0	-0.03292443	0	24	50	13	14		
4	57.5	0	122.5	0	35	0	37.5	0	-0.08672188	0	24	50	15	16		
4	57.5	0	122.5	0	37.5	0	40	0	-0.51175952	45.80847931	24	50	16	17		
4	57.5	0	122.5	0	40	0	42.5	0	-0.23737191	56.407341	24	50	17	18		
4	57.5	0	122.5	0	80	0	82.5	0	0.08719003	0	24	50	33	34		
4	57.5	0	122.5	0	100	0	102.5	0	0.04577421	0	24	50	41	42		
4	57.5	0	122.5	0	102.5	0	105	0	0.0495155	0	24	50	42	43		
4	57.5	0	122.5	0	105	0	107.5	0	0.09814908	0	24	50	43	44		
4	57.5	0	122.5	0	107.5	0	110	0	0.07241798	0	24	50	44	45		
4	57.5	0	122.5	0	110	0	112.5	0	0.188758	21.57228088	24	50	45	46		
4	57.5	0	122.5	0	112.5	0	115	0	0.16560809	37.1782608	24	50	46	47		
4	57.5	0	122.5	0	115	0	117.5	0	0.34415501	29.02890015	24	50	47	48		
4	57.5	0	122.5	0	125	0	127.5	0	-0.72140712	22.66990089	24	50	51	52		
4	57.5	0	122.5	0	127.5	0	130	0	-0.3584716	14.82837963	24	50	52	53		
4	57.5	0	122.5	0	130	0	132.5	0	-0.21502189	180.5619965	24	50	53	54		
4	57.5	0	122.5	0	132.5	0	135	0	-0.1437144	99	24	50	54	55		
4	57.5	0	122.5	0	135	0	137.5	0	-0.1230282	18.82196999	24	50	55	56		
4	57.5	0	122.5	0	147.5	0	150	0	-0.0108692	0	24	50	60	61		
4	57.5	0	122.5	0	150	0	152.5	0	-0.01033405	0	24	50	61	62		
4	62.5	0	127.5	0	0	0	2.5	0	-0.00667587	0	26	52	1	2		
4	62.5	0	127.5	0	5	0	7.5	0	-0.01224084	0	26	52	3	4		
4	62.5	0	127.5	0	7.5	0	10	0	-0.01527596	0	26	52	4	5		
4	62.5	0	127.5	0	12.5	0	15	0	-0.03945307	0	26	52	6	7		
4	62.5	0	127.5	0	15	0	17.5	0	-0.01029327	0	26	52	7	8		
4	62.5	0	127.5	0	20	0	22.5	0	-0.03416698	0	26	52	9	10		
4	62.5	0	127.5	0	25	0	27.5	0	-0.1182868	0	26	52	11	12		
4	62.5	0	127.5	0	27.5	0	30	0	-0.03786257	0	26	52	12	13		
4	62.5	0	127.5	0	30	0	32.5	0	-0.02559257	0	26	52	13	14		
4	62.5	0	127.5	0	80	0	82.5	0	0.1045045	0	26	52	33	34		
4	62.5	0	127.5	0	100	0	102.5	0	0.03937955	0	26	52	41	42		
4	62.5	0	127.5	0	102.5	0	105	0	0.03760352	0	26	52	42	43		
4	62.5	0	127.5	0	105	0	107.5	0	0.07752685	0	26	52	43	44		
4	62.5	0	127.5	0	107.5	0	110	0	0.03889062	0	26	52	44	45		
4	62.5	0	127.5	0	110	0	112.5	0	0.1440066	0	26	52	45	46		
4	62.5	0	127.5	0	112.5	0	115	0	0.07490364	0	26	52	46	47		
4	62.5	0	127.5	0	115	0	117.5	0	0.16683359	48.57292938	26	52	47	48		
4	62.5	0	127.5	0	117.5	0	120	0	0.1698291	21.62734032	26	52	48	49		
4	62.5	0	127.5	0	120	0	122.5	0	0.3272959	36.07781982	26	52	49	50		
4	62.5	0	127.5	0	130	0	132.5	0	-1.016994	77.10532379	26	52	53	54		
4	62.5	0	127.5	0	132.5	0	135	0	-0.44075531	61.10845947	26	52	54	55		
4	62.5	0	127.5	0	135	0	137.5	0	-0.3312459	30.52334023	26	52	55	56		
4	62.5	0	127.5	0	147.5	0	150	0	-0.02066356	0	26	52	60	61		
4	62.5	0	127.5	0	150	0	152.5	0	-0.01783965	0	26	52	61	62		
4	67.5	0	132.5	0	2.5	0	5	0	-0.01658914	0	28	54	2	3		
4	67.5	0	132.5	0	7.5	0	10	0	-0.00246531	0	28	54	4	5		
4	67.5	0	132.5	0	10	0	12.5	0	-0.02929338	0	28	54	5	6		
4	67.5	0	132.5	0	15	0	17.5	0	-0.00947535	0	28	54	7	8		
4	67.5	0	132.5	0	17.5	0	20	0	-0.02052909	0	28	54	8	9		
4	67.5	0	132.5	0	22.5	0	25	0	-0.03289931	0	28	54	10	11		
4	67.5	0	132.5	0	25	0	27.5	0	-0.00168466	0	28	54	11	12		
4	67.5	0	132.5	0	30	0	32.5	0	-0.01406816	0	28	54	13	14		
4	67.5	0	132.5	0	32.5	0	35	0	-0.04822258	0	28	54	14	15		
4	67.5	0	132.5	0	37.5	0	40	0	-0.2449054	35.56975937	28	54	16	17		
4	67.5	0	132.5	0	40	0	42.5	0	-0.1473482	57.89102173	28	54	17	18		
4	67.5	0	132.5	0	42.5	0	45	0	-0.1826539	99	28	54	18	19		
4	67.5	0	132.5	0	72.5	0	75	0	0.03455803	0	28	54	30	31		
4	67.5	0	132.5	0	80	0	82.5	0	0.09588592	52.9109993	28	54	33	34		
4	67.5	0	132.5	0	100	0	102.5	0	0.04286304	0	28	54	41	42		
4	67.5	0	132.5	0	102.5	0	105	0	0.06696579	0	28	54	42	43		
4	67.5	0	132.5	0	105	0	107.5	0	0.03461117	0	28	54	43	44		
